Name,Rating,Number of Ratings,Price,Region,Winery,Wine style,Alcohol content,Grapes,Food pairings,Bold,Tannin,Sweet,Acidic,Lean fish,Veal,Shellfish,Spicy food,Beef,Aperitif,Mild and soft cheese,Poultry,"Rich fish (salmon, tuna etc)",Cured Meat,Pasta,Pork,Lamb,Mushrooms,Appetizers and snacks,"Game (deer, venison)",Vegetarian,Mature and hard cheese,Goat cheese,Fruity desserts
Shotfire GSM 2018,3.9,36,19.49,Australia / South Australia / Barossa,Thorn-Clarke,Australian Rhône Blend Red,14.5,"Mourvedre, Shiraz/Syrah, Grenache","['Beef', 'Pasta', 'Lamb', 'Game (deer, venison)']",85.0,50.63,9.05,43.0,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False
Passion has Red Lips 2014,3.8,648,18.49,Australia / South Australia / Fleurieu / McLaren Vale,Some Young Punks,Australian Cabernet - Shiraz,14.5,"70 Shiraz/Syrah, 30 Cabernet Sauvignon","['Beef', 'Lamb', 'Poultry']",85.0,49.37,8.19,44.78,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
Jester Shiraz 2018,3.9,658,22.0,Australia / South Australia / Fleurieu / McLaren Vale,Mitolo,Australian Shiraz,14.5,100 Shiraz/Syrah,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",85.0,46.65,19.07,44.18,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False
Shotfire Quartage 2016,3.8,93,17.99,Australia / South Australia / Barossa,Thorn-Clarke,Australian Bordeaux Blend,14.5,"Cabernet Franc, Malbec, Cabernet Sauvignon","['Beef', 'Pasta', 'Lamb', 'Game (deer, venison)', 'Poultry']",85.0,56.4,10.85,65.28,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False,False,False
Stonehorse Shiraz 2018,4.0,288,29.17,Australia / South Australia / Barossa / Barossa Valley,Kaesler,Australian Shiraz,14.0,100 Shiraz/Syrah,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",84.04,44.21,22.1,41.95,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False
Jester Shiraz 2017,3.8,883,16.99,Australia / South Australia / Fleurieu / McLaren Vale,Mitolo,Australian Shiraz,14.5,100 Shiraz/Syrah,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",85.0,46.65,19.07,44.18,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False
Girt By Sea Cabernet - Merlot 2012,3.8,243,33.47,Australia / Western Australia / South West Australia / Margaret River,Voyager Estate,Australian Bordeaux Blend,13.8,"Merlot, Cabernet Sauvignon","['Beef', 'Pasta', 'Lamb', 'Game (deer, venison)', 'Poultry']",83.22,53.62,5.3,61.61,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False,False,False
Max's Shiraz - Cabernet 2019,4.0,561,21.99,Australia / South Australia,Penfolds,Australian Cabernet - Shiraz,14.5,100 Shiraz/Syrah,"['Beef', 'Lamb', 'Poultry']",85.0,47.68,8.05,44.07,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
The Formula Robert's Shiraz 2017,3.9,225,15.99,Australia / South Australia / Barossa / Barossa Valley,Small Gully,Australian Shiraz,15.9,100 Shiraz/Syrah,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",85.0,43.67,19.47,42.11,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False
Chocolate Factory Shiraz 2019,4.0,86,21.49,Australia / South Australia / Fleurieu / McLaren Vale,Zonte's Footstep,Australian Shiraz,14.5,Shiraz/Syrah,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",85.0,46.07,16.96,44.91,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False
Filius Chardonnay 2018,3.8,541,20.89,Australia / Western Australia / South West Australia / Margaret River,Vasse Felix,Australian Chardonnay,13.0,100 Chardonnay,"['Pork', 'Rich fish (salmon, tuna etc)', 'Vegetarian', 'Poultry']",53.1818,46.29526972,9.05,53.555,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,True,False,False,False
Red Silk Shiraz 2016,3.8,111,18.99,Australia / South Australia / Fleurieu / McLaren Vale,Oliverhill,Australian Shiraz,15.0,100 Shiraz/Syrah,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",85.0,47.14,20.18,42.58,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False
The Stump Jump White Blend 2016,3.9,257,11.99,Australia / South Australia / Fleurieu / McLaren Vale,d'Arenberg,Australian Riesling,11.0,100 Riesling,"['Pork', 'Shellfish', 'Poultry', 'Appetizers and snacks', 'Cured Meat']",44.259,46.29526972,9.05,53.555,False,False,True,False,False,False,False,True,False,True,False,True,False,False,True,False,False,False,False,False
Killerman's Run Shiraz 2018,3.8,1141,22.83,Australia / South Australia / Mount Lofty Ranges / Clare Valley,Kilikanoon,Australian Shiraz,14.5,100 Shiraz/Syrah,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",85.0,46.77,20.1,43.79,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False
