review,talks_about
"Easily the best Sauvignon Blanc I've had to date. Beautiful array of flavors on the nose with lemon, apple, honey, peach and other citrus. A great balance of acidity and a slight buttery flavor in the mid palate. Smooth and medium finish. Definitely worth having again. ",talks about taste
"Excellent, Mockingbird Inn?
",talks about taste
Absolutely incredible. One of the best sauvignon blancs I've ever had the pleasure to taste,talks about taste
Reported in nytimes. Did not try,other
"Great. Much different than other Sauv Blancs since it is aged in oak. After a few days open in the fridge, it was way better!",other
"This was a nice, balanced, SVB. Just enough Apple and citrus, light on the grass, but enough flavor to enjoy. ",talks about value for money
"Oak and stone first, followed by a little peach. Finishes with some apricot and green apple. Very good bottle for the price!",talks about value for money
"Stunning, delicious, sophisticated, incomparable to other SB's. A very welcome addition to the wonderful world of SB's.",other
Fantastic expression of Napa Sav Blanc.  Incredible peach undertones that went well with our grilled peach and avo salad,talks about taste
"I think this is my first Cali Sauvignon Blanc. Fruity, honeysuckle, maybe a little oily? Slightly sweet. ",talks about taste
One of the best Sauv Blancs made.. only accolades.. smooth and crisp up front with a memorable finish..,talks about taste
"Another bottle and another great dinner (soft shell crabs).  Drink this wine. Great balance, fruit and verve. ",talks about taste
Clean and pear up front with a beautiful subtle butter and spicy finish. One of the better sav blancs ,talks about taste
"Smooth and slightly sweet with pear, apple, and mango notes. Medium bodied and we'll balanced. Pairs well with cheese.",talks about taste
"Honey, pear and grilled pineapple on the nose.  Earthy on the palate with pear, mild grapefruit and green apple.",talks about taste
One of the better Sauvignon Blancs I’ve tasted. Pear and apple palate with a good mix of minerality and butter. ,talks about taste
"Dry, high acidity, high alcohol, medium bodied. Grass, vanilla and liquorice on the palate. Very good quality!",talks about taste
Crisp and tart flavors upfront with a nice sweet pear finish. Aromas of wild flowers and honey suckle. Exceptional wine!,talks about taste
Dry. Very fruit forward with no bad linger on the palate. Bought a bottle after our tasting and enjoy it just much now.,talks about taste
"Love this wine. Medium - Full bodied, low sweetness, and medium - high acidity. Melon and citrus, mmmm!!",talks about taste
Still a favorite.. deep color and pleasant tones of pear. Good enough to match a spicy pork dish! melon ,talks about taste
Mainly honeydew melon with pear overtones. Very enjoyable and more substantial than ‘popular’ sauv blancs. ,talks about taste
Grapefruit lime mineral notes.  Lite residual sugar mild smooth med plus acid med complexity easy drinking good food wine.,talks about taste
"Gorgeous!  Strong gooseberry on the nose, but oh the ripeness of fruit that shows peaches and tropical fruit! Excellent!",talks about taste
Pear and melon with clean drink. Almost like German white that I remember. Maybe pepper finish. I’d drink again,talks about taste
What a simply lovely wine - thank you Kelly & Kyle for thoughtfully providing it - well worth trying! 👍😃,talks about taste
"Super sweet kiwi, pineapple, and white peaches. Super easy drinking and delish! Refreshing and lovely :)",talks about taste
Candied apricot gives way to peach on the finish. Absolutely delightfully delicious with bacon wrapped sea scallops. ,talks about taste
Amazing fruit notes of apple in nose. French oak gives it a little twist in texture. Merry never disappoints! ,talks about taste
"Great sauv blanc for price. Very smooth and well balanced with some banana and apple hints, seems to be lower acidity ",talks about value for money
"Crisp, with a hint of minerality and cream flavor; citrus, peach and flowers on the nose. Very nice wine.",talks about taste
"Wow. Awesome wine, passion fruit, vanilla, incredibly soft on the tongue. Paid $33 and well worth it. ",talks about value for money
Fruity and creamy smooth with hints of pear and sweet apple.  Paired really well with Japanese food.  Enjoyed it very much.,talks about taste
Very floral nose. Not too sweet. Peaches. Soft in the mouth. Bought this at the vineyard after a very educational tasting.,talks about taste
delicious! Kind of syrupy but not sweet. Has a strong grape 🍇 flavor. Unlike New Zealand Sauvignon Blanca,talks about taste
"Golden color with floral and green apple aroma, fruity little creamy, taste of honey with hint of caramel, very nice",talks about taste
Delicious. Very complex. Nice crisp apple with a long finish. Obama had this in cases - maybe at inauguration. ,talks about taste
Love this! Pineapple and Pear off set by smooth butter. Fantastic expression of Sauvignon Blanc and welcome departure from an acid bomb. ,talks about taste
"Great Sauvignon Blanc,  one of the best I’ve tasted with Green Apple and Honey flavors on the palate.",talks about taste
On the frutier side for SBs. Great taste of melon that fills the mouth. Awesome bottle design as well ,talks about taste
"Pale pale straw, pear and sweetness on the nose that continues on the palate. Almost tastes like a late harvest",talks about taste
"I saw a creamy pear comment and I feel like that was a spot on description, good first impression.  $40",talks about taste
"This wine is just balanced, smooth, beautiful. Round melon, mineral, pear. It’s just delicious. Perfect Sauvignon Blanc ",talks about taste
"Definitely a tropical fruit forward, flavorful SB. Full body and concentration can stand up to rich shrimp and lobster. ",talks about taste
"Pleasant scent, light pear on the nose. Pear, hints of earth and a finish of green apple on the tongue. Light and mildly bright.",talks about taste
"A strange sauv Blanc, creamy and rich with a peppery finish.  A hint of sweetness.  I would have sworn it was a Viognier.",other
"Very good sauvignon blanc, but in american style; fuller and fruitier than the Europeans. Balance is very good though.",other
"This is the dream. Almost creamy on the finish, more depth than one would expect from a Sauv. Could drink this all day! ",talks about taste
"Hot vintage, light colour and golden green flecks.
Nose of white pineapple, sticks on the nose in a viscous lemon oil way. Savoury mixed green herbs and grilled peaches.
The palate is an equally complex attack of melon and creamy kiwi. The finish is salty and mineral focused with a slight sweet lift. The mouth feel and particularly the nose grow in breadth and weight as it opens.
A truly sublime pairing with grilled asparagus, sauce Gribiche, ham, Parmesan and lemon oil.",talks about taste
"House. Nicely balanced, feels like some oak or perhaps lees? Honeydew melon, honey, rosemary, papaya. Complex and more fruit forward / lower acid. Probably would not have guessed Sauvignon blanc. Bubblegum.  Refreshing, thirst-quenching",talks about taste
"SCOTT WHITE RECOMMENDATION

Scott has steered me to some great wines. Whispering angel rosé , Honig SB, and this. 

I cringed a bit on the price but said I’m worth it. So glad I did. 

Lots of tropical and citrus flavors with a touch of oak. Peach on the finish. 

90 point wine enthusiast. ",talks about taste
"This bottle is now seven years old. I saved it because I wanted to see how it might age. It’s still gorgeous, and one of my favorite whites. Softer, rounder, fuller. Ripe Asian pear, peach, honey, a bit of butter and caramel from the oak as well. The citrus is still there, tangerine and grapefruit, but more in the background.",talks about taste
Love the spicy note sitting on top of the gooseberry awesome sauvignon blanc for Californian but expect nothing less from Merry of course.,talks about taste
"Fantastic sonoma sauvignon blanc with a complex profile. Flavors of  white peach, tangerine, lemon, grass, guava, pineapple, coconut, vanilla, and a hint of minerality. Oak barrel fermentation gives it a softer acidity but adds more character and a creamy texture.",talks about taste
"I found this at the back of my cellar and thought it was maybe 4 years past prime. I was surprised - it still has a lot of life left in it. Sweet palate, notes of pink grapefruit and mon zest. Mouthfeel is creamy. Bright but mellowed acidity. ",talks about taste
"Stop. This is the one.  Better than Lail, Cuvasion or any other California Sav Blanc.  Measure all against this near perfect wine. Pale straw in color with notes of tropical fruit and lemon zest

Light bodied with crisp fruit expression.  Acidity comes in waves with a harmonious blend of fruit making this finish clean and dry. 

The palate is white peach, honey crisp apple, with hints of lime and tart kiwi
95pts",talks about taste
What impresses me most is this is a premium Sauvignon blanc isn’t overly fruity in an way like a lot of others but it has a mellow cornucopia of fruit.  Melon strawberry honey dew blueberry.  You name it and it’s got it and it’s a little crispy but a little soft and oaky.  So excellent ,talks about taste
"A medium plus body SB, round, showing oak notes, lees, and more on stone fruit and tropical, high alcohol but concentrated, quite long",talks about taste
Benchmark Cali Sauv B. Balanced wine. The fruit is ripe but not overly so.,talks about taste
Awaesome white !!! Enjoy with friends !!,talks about taste
Oaked sauvignon blanc - really awesome combination,talks about taste
"Different for a sauv blanc, crisp but richer than normal. Very good.",other
Even better when drinking in Sonoma,other
"Great Sauvignon Blanc!!! Aromas of melon, pear, minerals. High acidity/freshness in the mouth.",talks about taste
"Wow… impressive robust Sauvignon Blanc … green apple, pear cotton mineral lime   Beautiful",talks about taste
Holds it's own,other
Really nice cab sauv,talks about value for money
Nice and light!,talks about taste
citrus oak pear peach melon cream butter lemon apple honey,talks about taste
Served this wine at my wedding. A really lovely wine I’ll be drinking for years to come.,talks about taste
citrus oak pear lemon minerals stone grass straw banana,talks about taste
"So many tropical flavors with clear oak usage to provide complexity.

Pale lemon color. Grass, pear, grapefruit, green apple skin, pineapple, white blossom, and nectarine nose. Dry. High acidity. Cream, pineapple, lychee, vanilla, and lime zest.",talks about taste
"Light golden color. Nose: pear, pineapple, cotton candy & and bit of sage. Mouth: pineapple, pear, modest residual sugar, medium+ acid & a hint of bitterness. A long pear & sage finish.

ABV 14%. I think this is from the Maefield Estate Vineyard. Varietals: Sauvignon Blanc Shenandoah (Clone 1) - 67% & Sauvignon Musque- 33%. 5 mos in French oak (18% new) with batonnage 2x/wk. Definitely better after at least an hour slow-ox. Wine Spectator 95.",talks about taste
"Color: Light yellow
Viscosity: High
Aromas: Mango, Tropical, Guava, Honey, Pineapple, Mineral melon 
Tannins: None
Acidity: Medium
Alcohol: 14.0%.
Grape Varietal: 100% Sauvignon Blanc
Impression: Not much herbaceousness typical of Sauvignon Blanc. Tropical and easy to drink.",talks about taste
"Sauvignon Blanc from Russian River, Sonoma 🇺🇸 While I acknowledge this a wine with good complexity, the intense oaky aromas/flavors are overwhelming. It reminds me an oaky Chardonnay. Full-bodied with M acidity.",other
