,Name,Rating,Number of Ratings,Price,Region,Winery,Wine style,Alcohol content,Grapes,Food pairings,Bold,Tannin,Sweet,Acidic
0,Fields Of Joy Shiraz 2014,4.0,203,28.99,Australia / South Australia / Mount Lofty Ranges / Clare Valley,Two Hands,Australian Shiraz,13.79454297,,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",85.0,47.13,20.62,43.57
1,Shotfire GSM 2018,3.9,36,19.49,Australia / South Australia / Barossa,Thorn-Clarke,Australian Rhône Blend Red,14.5,"Mourvedre, Shiraz/Syrah, Grenache","['Beef', 'Pasta', 'Lamb', 'Game (deer, venison)']",85.0,50.63,9.05,43.0
2,Passion has Red Lips 2020,3.8,350,27.5,Australia / South Australia / Fleurieu / McLaren Vale,Some Young Punks,Australian Cabernet - Shiraz,13.79454297,,"['Beef', 'Lamb', 'Poultry']",85.0,49.37,8.19,44.78
3,The Hermit Crab Viognier - Marsanne 2018,3.8,1026,16.99,Australia / South Australia / Fleurieu / McLaren Vale,d'Arenberg,,13.79454297,,[],61.73,46.29526972,9.05,53.555
4,Cabernet Sauvignon (Batch No. 1 & 3) 2019,3.8,969,14.99,Australia / South Eastern Australia,Gentleman's Collection,Australian Cabernet Sauvignon,13.79454297,,"['Beef', 'Lamb', 'Poultry']",76.34,49.36,16.02,47.89
5,Passion has Red Lips 2014,3.8,648,18.49,Australia / South Australia / Fleurieu / McLaren Vale,Some Young Punks,Australian Cabernet - Shiraz,14.5,"70 Shiraz/Syrah, 30 Cabernet Sauvignon","['Beef', 'Lamb', 'Poultry']",85.0,49.37,8.19,44.78
6,Los Companeros Shiraz - Tempranillo 2015,3.8,116,29.99,Australia / South Australia / Mount Lofty Ranges / Clare Valley,Pikes,,13.79454297,,[],61.73,46.29526972,9.05,53.555
7,Jester Shiraz 2018,3.9,658,22.0,Australia / South Australia / Fleurieu / McLaren Vale,Mitolo,Australian Shiraz,14.5,100 Shiraz/Syrah,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",85.0,46.65,19.07,44.18
8,Shotfire Quartage 2016,3.8,93,17.99,Australia / South Australia / Barossa,Thorn-Clarke,Australian Bordeaux Blend,14.5,"Cabernet Franc, Malbec, Cabernet Sauvignon","['Beef', 'Pasta', 'Lamb', 'Game (deer, venison)', 'Poultry']",85.0,56.4,10.85,65.28
9,Stonehorse Shiraz 2018,4.0,288,29.17,Australia / South Australia / Barossa / Barossa Valley,Kaesler,Australian Shiraz,14.0,100 Shiraz/Syrah,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",84.04,44.21,22.1,41.95
10,The Hermit Crab Viognier - Marsanne 2017,3.8,647,16.99,Australia / South Australia / Fleurieu / McLaren Vale,d'Arenberg,,13.79454297,,[],61.73,46.29526972,9.05,53.555
11,The Warden (Reserve) 2018,3.8,299,21.99,Australia / South Eastern Australia,19 Crimes,Australian Shiraz,13.79454297,,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",85.0,42.81,11.53,43.28
12,Jester Shiraz 2017,3.8,883,16.99,Australia / South Australia / Fleurieu / McLaren Vale,Mitolo,Australian Shiraz,14.5,100 Shiraz/Syrah,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",85.0,46.65,19.07,44.18
13,Barossa Valley Cabernet Sauvignon 2018,3.8,91,21.33,Australia / South Australia / Barossa / Barossa Valley,Schild Estate,Australian Cabernet Sauvignon,13.79454297,,"['Beef', 'Lamb', 'Poultry']",69.12,52.56,7.54,52.7
14,Blocks Road Cabernet Sauvignon 2017,3.8,112,33.08,Australia / South Australia / Mount Lofty Ranges / Clare Valley,Kilikanoon,Australian Cabernet Sauvignon,13.79454297,,"['Beef', 'Lamb', 'Poultry']",68.75,54.73,6.46,53.38
15,Girt By Sea Cabernet - Merlot 2012,3.8,243,33.47,Australia / Western Australia / South West Australia / Margaret River,Voyager Estate,Australian Bordeaux Blend,13.8,"Merlot, Cabernet Sauvignon","['Beef', 'Pasta', 'Lamb', 'Game (deer, venison)', 'Poultry']",83.22,53.62,5.3,61.61
16,AAA Shiraz - Grenache 2017,4.0,497,18.04,Australia / South Australia / Fleurieu / McLaren Vale,Paxton,,13.79454297,,[],61.73,46.29526972,9.05,53.555
17,No.2 2021,3.8,30,23.74,Australia / South Australia,Rieslingfreak,Australian Riesling,13.79454297,,"['Pork', 'Shellfish', 'Poultry', 'Appetizers and snacks', 'Cured Meat']",43.065,46.29526972,9.05,53.555
18,Thorny Devil Grenache 2021,4.0,33,23.74,Australia / South Australia / Barossa / Barossa Valley,Thistledown,,13.79454297,,[],61.73,46.29526972,9.05,53.555
