,Name,Rating,Number of Ratings,Price,Region,Winery,Wine style,Alcohol content,Grapes,Food pairings,Bold,Tannin,Sweet,Acidic
0,Gran Reserva Carmenère 2017,4.0,888,19.99,Chile / Central Valley / Maule Valley,TerraNoble,Chilean Carménère,14.0,100 Carménère,"['Beef', 'Pasta', 'Lamb', 'Poultry']",74.21,33.1,8.87,44.73
1,Gran Araucano Cabernet Sauvignon 2018,4.2,31,32.99,Chile / Central Valley / Rapel Valley / Colchagua Valley,Araucano,Chilean Cabernet Sauvignon,13.79454297,,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",76.19,46.51,12.13,43.44
2,Pirque Vineyard Cabernet Franc (Lot ...) 2016,4.2,80,40.49,Chile / Central Valley / Maipo Valley / Pirque,Garage Wine Co,,13.79454297,,[],61.73,46.29526972,9.05,53.555
3,Carmenère 2019,4.2,1642,24.99,Chile / Central Valley / Rapel Valley / Peumo,Marques de Casa Concha,Chilean Carménère,13.79454297,,"['Beef', 'Pasta', 'Lamb', 'Poultry']",73.75,37.48,12.07,41.19
4,Orzada Malbec 2013,3.8,174,11.95,Chile / Central Valley / Curico Valley / Lontue Valley,Odfjell,Chilean Malbec,13.79454297,,"['Beef', 'Lamb', 'Poultry']",64.96,24.03,20.96,40.91
5,1865 Selected Vineyards Cabernet Sauvignon 2019,3.8,623,23.83,Chile / Central Valley / Maipo Valley,San Pedro,Chilean Cabernet Sauvignon,13.79454297,,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",68.11,51.93,13.14,45.1
6,Lazuli Cabernet Sauvignon 2014,4.0,198,29.95,Chile / Central Valley / Maipo Valley,Viña Aquitania,Chilean Cabernet Sauvignon,13.79454297,,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",67.75,47.14,12.12,45.72
7,Cota 500 Chardonnay 2021,4.1,56,21.0,Chile / Central Valley / Maipo Valley,Andes Plateau,Chilean Chardonnay,13.79454297,,"['Pork', 'Rich fish (salmon, tuna etc)', 'Vegetarian', 'Poultry']",50.92,46.29526972,30.68,46.98
8,1865 Single Vineyard Cabernet Sauvignon 2016,4.0,574,13.99,Chile / Central Valley / Maipo Valley,San Pedro,Chilean Cabernet Sauvignon,13.79454297,,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",74.47,49.22,11.28,45.56
9,Bagual Vineyard Garnacha (Lot ...) 2013,3.9,93,35.99,Chile / Central Valley / Maule Valley,Garage Wine Co,,13.79454297,,[],61.73,46.29526972,9.05,53.555
10,Carmenère Grande Reserve 2018,4.0,480,14.99,Chile / Central Valley / Rapel Valley / Colchagua Valley,Los Vascos,Chilean Carménère,14.0,100 Carménère,"['Beef', 'Pasta', 'Lamb', 'Poultry']",75.46,33.18,5.45,43.11
11,Selected Hillside Vineyards Cabernet Sauvignon 2017,3.8,844,12.99,Chile / Central Valley / Maipo Valley,Scarlet Vine,Chilean Cabernet Sauvignon,13.79454297,,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",76.83,47.87,5.18,45.35
12,Carmenère Reserva 2019,3.9,353,11.99,Chile / Central Valley / Maule Valley,Casas Patronales,Chilean Carménère,13.79454297,,"['Beef', 'Pasta', 'Lamb', 'Poultry']",71.95,36.7,15.66,44.55
