,Name,Rating,Number of Ratings,Price,Region,Winery,Wine style,Alcohol content,Grapes,Food pairings,Bold,Tannin,Sweet,Acidic
0,Provence Rosé 2020,4.1,624,24.94,France / Provence / Côtes de Provence,La Mascaronne,Provence Rosé,12.5,"35 Grenache, 35 Cinsault, 20 Shiraz/Syrah, 10 Vermentino","['Pork', 'Shellfish', 'Vegetarian', 'Poultry']",28.88,46.29526972,1.2,65.11
1,Les Figuiers Saint-Péray 2018,4.3,127,31.53,France / Rhone Valley / Northern Rhône / Saint-Péray,Bernard Gripa,Northern Rhône Saint-Péray,13.5,"60 Roussanne, 40 Marsanne","['Rich fish (salmon, tuna etc)', 'Shellfish', 'Vegetarian', 'Mild and soft cheese']",25.75,46.29526972,37.11,52.67
2,Clos de Mosny 2015,4.1,301,29.95,France / Loire Valley / Middle Loire / Touraine / Montlouis-sur-Loire,La Taille Aux Loups,Loire Chenin Blanc,13.79454297,,"['Rich fish (salmon, tuna etc)', 'Vegetarian', 'Poultry', 'Mild and soft cheese']",27.92,46.29526972,7.83,85.0
3,Cremant d'Alsace Brut Rosé N.V.,4.1,3884,20.99,France / Alsace / Crémant d'Alsace,Lucien Albrecht,French Crémant,12.5,100 Pinot Noir,"['Shellfish', 'Poultry', 'Appetizers and snacks', 'Lean fish', 'Aperitif']",49.58,46.29526972,9.05,56.23
4,Pouilly Fumé 2020,4.0,172,29.61,France / Loire Valley / Upper Loire / Pouilly-Fumé,J. de Villebois,Upper Loire White,13.0,100 Sauvignon Blanc,"['Pork', 'Shellfish', 'Spicy food', 'Vegetarian', 'Goat cheese']",21.81,46.29526972,9.05,64.56
5,Sauternes 2017,4.1,162,34.99,France / Bordeaux / Sauternes,Château Laribotte,Bordeaux Sauternes,13.5,100 Sémillon,"['Fruity desserts', 'Blue cheese']",85.0,46.29526972,85.0,77.78
6,La Truffière Rouge 2018,4.2,108,49.58,France / Vin de Pays / Pays d'Oc / Côtes Catalanes,Danjou-Banessy,Languedoc-Roussillon Red,13.79454297,,"['Beef', 'Pasta', 'Veal']",49.23,56.25,9.05,64.88
7,Saint-Émilion Grand Cru (Grand Cru Classé) 2018,4.1,505,61.25,France / Bordeaux / Libournais / Saint-Émilion / Saint-Émilion Grand Cru,Château Laroque,Bordeaux Saint-Émilion,14.5,100 Cabernet Franc,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",72.61,55.9,8.01,53.39
8,Bouzeron 2020,4.2,142,49.5,France / Bourgogne / Côte Chalonnaise / Bouzéron,Domaine A. et P. de Villaine,Burgundy Côte Chalonnaise White,12.5,100 Aligoté,"['Pasta', 'Rich fish (salmon, tuna etc)', 'Shellfish', 'Mild and soft cheese', 'Cured Meat']",39.86,46.29526972,2.42,42.71
9,Phénix Fleurie 2018,4.2,50,37.0,France / Beaujolais / Fleurie,Les Bertrand,Beaujolais Red,13.79454297,,"['Pasta', 'Veal', 'Pork', 'Poultry']",61.73,6.5,2.92,85.0
10,Cuvée La Côte Ronde Châteauneuf-du-Pape 2009,4.2,71,54.94,France / Rhone Valley / Southern Rhône / Châteauneuf-du-Pape,Paul Autard,Southern Rhône Châteauneuf-du-Pape Red,13.79454297,,"['Lamb', 'Pork', 'Poultry']",85.0,37.61,11.41,43.5
11,Saint-Émilion Grand Cru 2018,4.1,332,155.0,France / Bordeaux / Libournais / Saint-Émilion / Saint-Émilion Grand Cru,Château Rozier,Bordeaux Saint-Émilion,14.0,"80 Merlot, 20 Cabernet Franc","['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",72.71,54.79,8.1,51.84
12,Prestige Pouilly-Fumé 2012,4.4,27,26.67,France / Loire Valley / Upper Loire / Pouilly-Fumé,Domaine Chatelain,Upper Loire White,13.79454297,,"['Pork', 'Shellfish', 'Spicy food', 'Vegetarian', 'Goat cheese']",22.65,46.29526972,6.62,72.07
13,Paradis Rosé 2021,4.2,28,11.99,France / Vin de Pays / Pays d'Oc,Domaine Preignes le Vieux - Maison Robert Vic,Languedoc-Roussillon Rosé,12.5,Grenache,"['Pasta', 'Vegetarian', 'Appetizers and snacks', 'Lean fish', 'Aperitif']",38.03,46.29526972,0.85,57.74
14,Á la Percenette Chardonnay 2018,4.2,88,35.0,France / Jura / Côtes du Jura,Pignier,Jura White,13.79454297,,"['Poultry', 'Mushrooms', 'Mild and soft cheese']",32.85,46.29526972,0.6,84.07
15,Vieilles Vignes Pinot Blanc 2020,3.9,39,22.99,France / Alsace,Meyer-Fonné,Alsace Pinot Blanc,13.5,100 Pinot Blanc,"['Rich fish (salmon, tuna etc)', 'Shellfish', 'Mild and soft cheese', 'Cured Meat']",41.14,46.29526972,5.74,55.13
