,Name,Rating,Number of Ratings,Price,Region,Winery,Wine style,Alcohol content,Grapes,Food pairings,Bold,Tannin,Sweet,Acidic
0,Angelin Langhe Nebbiolo 2018,3.9,533,22.0,Italy / Northern Italy / Piemonte / Langhe,Negro Angelo,Italian Nebbiolo,13.0,100 Nebbiolo,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",62.36,80.76,9.05,84.76
1,Castello della Sala Bramìto Chardonnay 2020,4.1,1785,21.99,Italy / Central Italy / Umbria,Antinori,Central Italy White,12.5,100 Chardonnay,"['Pasta', 'Vegetarian', 'Appetizers and snacks', 'Lean fish', 'Cured Meat']",42.68,46.29526972,22.83,64.49
2,Bric Valdiana Roero 2017,4.0,56,25.97,Italy / Northern Italy / Piemonte / Roero,Giovanni Almondo,Italian Nebbiolo,14.0,100 Nebbiolo,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",63.81,83.56,13.09,83.34
3,Tenuta Guado al Tasso Scalabrone Bolgheri Rosato 2020,3.9,929,35.98,Italy / Central Italy / Toscana / Bolgheri,Antinori,,13.79454297,,[],61.73,46.29526972,9.05,53.555
4,Sassella Valtellina Superiore Riserva 2012,3.9,79,24.99,Italy / Northern Italy / Lombardia / Valtellina / Valtellina Superiore,Triacca,Italian Nebbiolo,13.79454297,,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",63.64,82.91,9.05,85.0
5,Vicenziana Barbaresco 2017,4.0,30,41.99,Italy / Northern Italy / Piemonte / Barbaresco,Silvio Giamello,Italian Barbaresco,13.79454297,,"['Beef', 'Pasta', 'Lamb', 'Game (deer, venison)']",66.68,69.94,7.93,85.0
6,Appassite Negroamaro - Primitivo 2020,4.1,1528,16.99,Italy / Southern Italy / Puglia,Luna Argenta,Southern Italy Red,14.0,"Negroamaro, Primitivo","['Beef', 'Pasta', 'Lamb']",83.38,35.27,37.94,21.68
7,Amore e Psyché Rosso 2017,3.9,53,25.99,Italy / Central Italy / Toscana / Costa Toscana,Macchion dei Lupi,Tuscan Red,13.79454297,,"['Beef', 'Lamb', 'Veal', 'Poultry', 'Cured Meat']",45.7,38.74,10.28,51.64
8,Verduno Pelaverga 2017,3.8,433,36.0,Italy / Northern Italy / Piemonte / Verduno,Comm. G.B. Burlotto,Northern Italy Red,14.5,100 Pelaverga,"['Beef', 'Pasta', 'Lamb', 'Game (deer, venison)']",53.98,43.2,11.47,39.59
9,Zibibbo 2020,4.0,43,28.99,Italy / Southern Italy / Calabria,Cantine Benvenuto,Southern Italy White,13.79454297,,"['Shellfish', 'Vegetarian', 'Appetizers and snacks']",63.84,46.29526972,7.28,29.72
