,Name,Rating,Number of Ratings,Price,Region,Winery,Wine style,Alcohol content,Grapes,Food pairings,Bold,Tannin,Sweet,Acidic
0,Icon Sauvignon Blanc 2015,4.0,535,15.99,New Zealand / South Island / Marlborough,Nobilo,New Zealand Sauvignon Blanc,13.79454297,,"['Shellfish', 'Vegetarian', 'Goat cheese']",33.63,46.29526972,2.28,77.88
1,Section 94 Sauvignon Blanc 2018,4.0,448,34.95,New Zealand / South Island / Marlborough,Dog Point,New Zealand Sauvignon Blanc,14.0,Sauvignon Blanc,"['Shellfish', 'Vegetarian', 'Goat cheese']",37.91,46.29526972,3.95,76.51
2,Malbec 2018,3.8,37,27.0,New Zealand / North Island / Hawke's Bay / Gimblett Gravels,Decibel,,13.79454297,,[],61.73,46.29526972,9.05,53.555
3,Icon Sauvignon Blanc 2019,4.2,225,15.99,New Zealand / South Island / Marlborough,Nobilo,New Zealand Sauvignon Blanc,12.5,100 Sauvignon Blanc,"['Shellfish', 'Vegetarian', 'Goat cheese']",33.63,46.29526972,2.28,77.88
4,Gravestone 2018,3.8,46,32.0,New Zealand / North Island / Auckland / Waiheke Island,Man O' War,New Zealand Sauvignon Blanc,13.5,"75 Sauvignon Blanc, 25 Sémillon","['Shellfish', 'Vegetarian', 'Goat cheese']",39.96,46.29526972,3.22,76.48
5,Maui Sauvignon Blanc 2021,4.1,157,18.99,New Zealand / South Island / Canterbury / Waipara,Tiki,New Zealand Sauvignon Blanc,13.0,100 Sauvignon Blanc,[],61.73,46.29526972,9.05,53.555
6,Three Brooms Single Vineyard Sauvignon Blanc 2021,4.0,184,14.99,New Zealand / South Island / Marlborough,Barker's Marque Wines,New Zealand Sauvignon Blanc,13.0,100 Sauvignon Blanc,"['Shellfish', 'Vegetarian', 'Goat cheese']",32.62,46.29526972,4.92,78.86
7,The Supernatural Sauvignon Blanc 2020,3.9,89,21.98,New Zealand / North Island / Hawke's Bay,Supernatural Wine Co.,New Zealand Sauvignon Blanc,13.79454297,,"['Shellfish', 'Vegetarian', 'Goat cheese']",33.72,46.29526972,1.36,78.5
8,Moonlight Race Pinot Noir 2018,4.1,523,31.98,New Zealand / South Island / Central Otago,Burn Cottage,New Zealand Pinot Noir,13.6,100 Pinot Noir,"['Beef', 'Veal', 'Game (deer, venison)', 'Poultry']",24.15,23.29,8.69,62.22
9,"X, SJP Sauvignon Blanc 2021",4.1,683,18.18,New Zealand / South Island / Marlborough,Invivo,New Zealand Sauvignon Blanc,13.2,100 Sauvignon Blanc,"['Shellfish', 'Vegetarian', 'Goat cheese']",33.07,46.29526972,7.17,75.06
