,Name,Rating,Number of Ratings,Price,Region,Winery,Wine style,Alcohol content,Grapes,Food pairings,Bold,Tannin,Sweet,Acidic
0,Six Grapes Ruby Port N.V.,3.8,59,25.99,Portugal / Duriense / Porto,W. & J. Graham's,Ruby Port,20.0,"Tinta Barroca, Touriga Nacional, Touriga Franca, Tinta Roriz, Tinto Cao","['Beef', 'Mature and hard cheese']",61.73,46.29526972,9.05,53.555
1,Colheita Selecionada Alvarinho 2020,3.9,1003,10.98,Portugal / Minho,Aveleda,Northern Portugal White,12.5,100 Albariño,"['Shellfish', 'Appetizers and snacks', 'Lean fish', 'Cured Meat']",40.68,46.29526972,6.51,64.56
2,Branco 2020,4.0,30,8.99,Portugal / Minho / Vinho Verde,Broadbent,Portuguese Vinho Verde White,13.79454297,,"['Shellfish', 'Vegetarian', 'Appetizers and snacks']",5.61,46.29526972,1.62,80.34
3,Tinto Reserva 2016,4.0,5623,13.99,Portugal / Lisboa,Confidencial,Southern Portugal Red,13.0,Tinto Cao,"['Beef', 'Pasta', 'Veal', 'Poultry']",64.75,37.19,12.01,43.34
4,Late Bottled Vintage Port 1994,4.2,143,34.99,Portugal / Duriense / Porto,Sandeman,Late Bottled Vintage Port,13.79454297,,"['Beef', 'Mature and hard cheese']",61.73,46.29526972,9.05,53.555
5,Estates Touriga Nacional Douro 2013,3.9,618,23.0,Portugal / Duriense / Douro,Churchill's,Portuguese Douro Red,14.0,100 Touriga Nacional,"['Beef', 'Pasta', 'Lamb', 'Game (deer, venison)']",79.17,61.59,13.08,44.03
6,Bruto Rosé 2020,3.8,39,20.09,Portugal / Beiras / Bairrada,São João,,13.79454297,,[],61.73,46.29526972,9.05,53.555
7,Álvaro Castro Tinto 2016,3.8,145,37.99,Portugal / Beiras / Dão,Quinta da Pellada,Portuguese Dão Red,13.0,"30 Touriga Nacional, 30 Alfrocheiro Preto, 25 Mencia, 15 Tinta Roriz","['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",64.0,58.23,8.7,63.24
8,Xisto Ilimitado 2017,3.9,606,27.0,Portugal / Duriense / Douro,Luis Seabra,Portuguese Douro Red,13.0,"Tinta Amarela, Rufete, Touriga Franca, Tinta Roriz, Tinta Barroca","['Beef', 'Pasta', 'Lamb', 'Game (deer, venison)']",74.66,57.59,8.52,50.48
9,Quinta da Escusa Reserva Red 2015,3.9,74,20.76,Portugal / Tejo,Romana Vini,Southern Portugal Red,13.79454297,,"['Beef', 'Pasta', 'Veal', 'Poultry']",69.89,46.77,12.47,47.54
10,5 Years Old Madeira Bual Medium Rich N.V.,4.0,647,25.99,Portugal / Terras Madeirenses / Madeira,Cossart Gordon,Portuguese Madeira,19.0,100 Bual,"['Sweet desserts', 'Appetizers and snacks']",85.0,46.29526972,85.0,67.74
11,Touriga Nacional 2014,4.1,148,39.95,Portugal / Beiras / Dão,Pedra Cancela,Portuguese Dão Red,13.79454297,,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",55.31,58.04,9.08,61.32
12,Colheita Red 2018,3.8,173,25.0,Portugal / Duriense / Douro,Quinta do Portal,Portuguese Douro Red,13.5,"35 Touriga Nacional, 35 Tinta Roriz, 30 Touriga Franca","['Beef', 'Pasta', 'Lamb', 'Game (deer, venison)']",77.2,53.24,11.07,43.27
13,Esporão Reserva Branco 2017,4.1,2669,19.49,Portugal / Alentejano / Alentejo,Esporão,Southern Portugal White,14.0,"Roupeiro, Antão Vaz","['Pasta', 'Pork', 'Shellfish', 'Lean fish']",52.68,46.29526972,12.02,32.47
14,Bruto Rosé N.V.,3.9,444,26.99,Portugal / Minho / Vinho Verde / Monção e Melgaço,Soalheiro,,13.79454297,,[],61.73,46.29526972,9.05,53.555
15,Branco (Loureiro) 2020,3.8,309,19.99,Portugal / Minho / Vinho Verde,Quinta do Ameal,Portuguese Vinho Verde White,11.5,100 Loureiro,"['Shellfish', 'Vegetarian', 'Appetizers and snacks']",28.25,46.29526972,1.2,71.22
16,Six Grapes Reserve Port N.V.,3.9,10871,20.99,Portugal / Duriense / Porto,W. & J. Graham's,Portuguese Port,20.0,"Tinta Amarela, Tinta Cão, Touriga Nacional, Touriga Franca, Tinta Roriz, Tinta Barroca","['Beef', 'Sweet desserts', 'Blue cheese']",85.0,46.29526972,85.0,43.25
17,Alentejano Branco 2015,3.8,133,26.99,Portugal / Alentejano / Alentejo,Fitapreta,Southern Portugal White,13.79454297,,"['Pasta', 'Pork', 'Shellfish', 'Lean fish']",44.8,46.29526972,6.61,38.08
18,Grande Escolha 2015,3.8,90,10.98,Portugal / Lisboa,Francos,Southern Portugal Red,13.79454297,,"['Beef', 'Pasta', 'Veal', 'Poultry']",67.74,31.41,9.49,37.07
19,Pó de Poeira Tinto 2019,4.1,317,19.95,Portugal / Duriense / Douro,Poeira,Portuguese Douro Red,14.0,100 Touriga Franca,"['Beef', 'Pasta', 'Lamb', 'Game (deer, venison)']",76.98,57.0,16.08,44.22
20,5 Years Old Madeira Sercial N.V.,3.9,71,12.99,Portugal / Terras Madeirenses / Madeira,Cossart Gordon,Portuguese Madeira,13.79454297,,"['Sweet desserts', 'Appetizers and snacks']",81.93,46.29526972,59.65,72.87
21,Dão Reserva 2015,3.9,1352,19.99,Portugal / Beiras / Dão,Cabriz,Portuguese Dão Red,13.0,"Alfrocheiro Preto, Touriga Nacional, Tinta Roriz","['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",64.55,52.68,11.02,56.26
22,Flor de Crasto Tinto 2017,3.8,3147,11.99,Portugal / Duriense / Douro,Quinta do Crasto,Portuguese Douro Red,13.0,"Touriga Nacional, Touriga Franca, Tinta Roriz","['Beef', 'Pasta', 'Lamb', 'Game (deer, venison)']",74.19,51.27,13.95,42.36
