,Name,Rating,Number of Ratings,Price,Region,Winery,Wine style,Alcohol content,Grapes,Food pairings,Bold,Tannin,Sweet,Acidic
0,Komokabras Barrica 2019,4.0,45,27.17,Spain / Galicia / Barbanza e Iria,Entre os Ríos,Spanish Albariño,13.79454297,,"['Pasta', 'Shellfish', 'Vegetarian', 'Appetizers and snacks', 'Lean fish']",21.0,46.29526972,30.9,55.24
1,Tarima Hill Old Vines Monastrell 2014,3.9,2525,15.99,Spain / Valencia / Alicante,Volver,Spanish Monastrell,15.0,100 Monastrell,"['Beef', 'Pasta', 'Lamb', 'Game (deer, venison)']",59.55,69.08,8.97,55.08
2,Ribera del Duero JC Vizcarra 2013,3.9,148,34.95,Spain / Castilla y León / Ribera del Duero,Vizcarra,Spanish Ribera Del Duero Red,13.79454297,,"['Beef', 'Lamb', 'Game (deer, venison)']",66.2,55.74,4.03,63.79
3,El Rapolao (Lomas de Valtuille) 2019,4.1,232,37.94,Spain / Castilla y León / Bierzo,La Vizcaína,Spanish Mencia,13.5,100 Mencia,"['Veal', 'Game (deer, venison)', 'Poultry']",52.73,43.36,8.03,64.54
4,Getariako Txakolina White 2019,3.9,79,19.99,Spain / País Vasco / Getariako Txakolina,Ulacia,,13.79454297,,[],61.73,46.29526972,9.05,53.555
5,El Zarzal Godello 2018,3.9,719,28.49,Spain / Castilla y León / Bierzo,Emilio Moro,,13.79454297,,[],61.73,46.29526972,9.05,53.555
6,Mia Moscato N.V.,3.8,4490,10.99,Spain / Catalunya,Freixenet,Spanish Sparkling,7.0,100 Moscatel,"['Shellfish', 'Appetizers and snacks', 'Lean fish', 'Aperitif']",41.39,46.29526972,9.05,43.94
7,Unfiltered Reserva 2017,4.2,937,33.99,Spain / Rioja,Muga,Spanish Rioja Red,14.5,100 Tempranillo,"['Beef', 'Lamb', 'Veal', 'Poultry']",66.29,62.24,2.93,63.02
8,Jaun de Alzate Reserva 2015,4.3,45,21.99,Spain / Rioja / Rioja Alavesa,Bodegas Loli Casado,Spanish Rioja Red,13.79454297,,"['Beef', 'Lamb', 'Veal', 'Poultry']",65.37,64.31,9.05,59.47
9,Ancestral de la Vinya del Mas 2016,3.8,63,39.99,Spain / Catalunya / Penedès,Vins Pepe Raventós,Spanish Sparkling,13.79454297,,"['Shellfish', 'Appetizers and snacks', 'Lean fish', 'Aperitif']",40.23,46.29526972,9.05,54.32
10,Las Gravas 2019,4.1,274,39.94,Spain / Murcia / Jumilla,Casa Castillo,Spanish Rhône Blend Red,14.5,"Shiraz/Syrah, Monastrell","['Beef', 'Pasta', 'Lamb', 'Game (deer, venison)']",84.85,61.51,10.59,66.47
11,Nisia Las Suertes Verdejo Old Vines 2018,4.3,57,34.99,Spain / Castilla y León / Rueda,Ordóñez,Spanish Verdejo,13.0,100 Verdejo,"['Pork', 'Shellfish', 'Vegetarian', 'Cured Meat']",24.76,46.29526972,24.36,49.18
12,Solar de Estraunza Reserva 2015,4.4,41,23.99,Spain / Rioja,Bodegas Estraunza,Spanish Tempranillo,13.79454297,,"['Beef', 'Lamb', 'Veal', 'Poultry']",74.65,59.49,3.38,34.75
13,Jumilla Blue Label 2019,4.4,1872,33.99,Spain / Murcia / Jumilla,Juan Gil,Spanish Monastrell,15.0,100 Mourvedre,"['Beef', 'Pasta', 'Lamb', 'Game (deer, venison)']",67.61,50.21,18.19,46.0
14,Blanco 2020,3.8,230,14.99,Spain / Castilla y León / Rueda,Shaya,Spanish Verdejo,13.5,100 Verdejo,"['Pork', 'Shellfish', 'Vegetarian', 'Cured Meat']",23.16,46.29526972,23.79,50.21
15,Reserva 2006,4.1,77,16.99,Spain / Rioja,Larchago,Spanish Rioja Red,13.79454297,,"['Beef', 'Lamb', 'Veal', 'Poultry']",68.78,62.46,9.05,65.38
16,Tintilla 2017,4.0,153,21.99,Spain / Andalucía / Cádiz,Vara Y Pulgar,Spanish Red,13.0,100 Tintilla de Rota,"['Beef', 'Pasta', 'Veal', 'Poultry']",61.64,39.75,15.27,48.2
17,Joven de Viñas Viejas 2020,4.1,71,26.99,Spain / Castilla y León / Ribera del Duero,Goyo Garcia Viadero,Spanish Ribera Del Duero Red,13.79454297,,"['Beef', 'Lamb', 'Game (deer, venison)']",64.24,62.51,5.64,66.42
18,Ribera del Duero JC Vizcarra 2013,3.9,148,34.95,Spain / Castilla y León / Ribera del Duero,Vizcarra,Spanish Ribera Del Duero Red,13.79454297,,"['Beef', 'Lamb', 'Game (deer, venison)']",66.2,55.74,4.03,63.79
19,Tinto 2013,3.8,1253,19.5,Spain / Castilla / La Mancha,El Vínculo,Spanish Tempranillo,13.5,100 Tempranillo,"['Beef', 'Lamb', 'Veal', 'Poultry']",76.65,61.08,13.03,36.86
20,Via Edetana Tinto 2016,3.9,239,21.99,Spain / Catalunya / Terra Alta,Edetària,Spanish Red,14.5,"50 Garnacha Peluda, 30 Garnacha, 20 Carignan","['Beef', 'Pasta', 'Veal', 'Poultry']",63.69,43.58,10.69,49.92
21,Crianza 2017,3.8,40,22.5,Spain / Castilla y León / Ribera del Duero,Convento Oreja,Spanish Ribera Del Duero Red,13.79454297,,"['Beef', 'Lamb', 'Game (deer, venison)']",63.52,51.92,11.74,53.63
22,Selección 2000,4.1,286,36.99,Spain / Rioja,Bodegas Urbina,Spanish Rioja Red,13.0,100 Tempranillo,"['Beef', 'Lamb', 'Veal', 'Poultry']",62.69,58.21,1.78,61.0
23,La Caprichosa Verdejo 2019,4.0,674,17.14,Spain / Castilla y León / Rueda,Palacio de Bornos,Spanish Verdejo,13.5,100 Verdejo,"['Pork', 'Shellfish', 'Vegetarian', 'Cured Meat']",32.45,46.29526972,26.05,53.11
24,Cepas Centenarias 2012,3.8,70,28.99,Spain / Rioja / Rioja Alta,Tarón,Spanish Rioja Red,13.79454297,,"['Beef', 'Lamb', 'Veal', 'Poultry']",57.58,59.47,4.98,58.78
25,Casamaro Verdejo 2019,4.0,288,18.99,Spain / Castilla y León / Rueda,Garciarevalo,Spanish Verdejo,12.5,100 Verdejo,"['Pork', 'Shellfish', 'Vegetarian', 'Cured Meat']",17.59,46.29526972,22.89,51.02
26,Rioja 2020,3.8,90,12.99,Spain / Rioja,Honoro Vera,Spanish Rioja Red,14.5,100 Tempranillo,"['Beef', 'Lamb', 'Veal', 'Poultry']",60.28,63.16,8.54,59.54
