,Name,Rating,Number of Ratings,Price,Region,Winery,Wine style,Alcohol content,Grapes,Food pairings,Bold,Tannin,Sweet,Acidic
0,The Deal Syrah 2018,4.1,81,29.94,United States / Washington / Columbia Valley / Wahluke Slope,K Vintners,Washington State Syrah,14.5,100 Shiraz/Syrah,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",67.93,58.49,5.38,55.2
1,Gewürztraminer 2019,3.9,506,10.99,United States / Washington / Columbia Valley,Chateau Ste. Michelle,Washington State Gewürztraminer,12.5,100 Gewürztraminer,"['Pork', 'Rich fish (salmon, tuna etc)', 'Spicy food', 'Poultry', 'Mild and soft cheese']",65.65,46.29526972,44.0,28.26
2,Chenin Blanc - Viognier 2021,4.1,1579,13.86,United States / California / North Coast / Napa County / Napa Valley,Pine Ridge,Californian White Blend,12.0,100 Chenin Blanc,"['Pasta', 'Pork', 'Shellfish', 'Poultry']",65.93,46.29526972,27.52,33.37
3,Magnolia Cabernet Sauvignon 2019,4.0,124,27.99,United States / California / North Coast / Sonoma County,Krutz,Californian Cabernet Sauvignon,13.79454297,,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",83.77,52.55,4.27,42.22
4,Estate Grown Syrah 2020,4.0,161,27.99,United States / California / Central Coast / Santa Barbara County / Santa Ynez Valley / Ballard Canyon,Stolpman Vineyards,Californian Syrah,14.1,100 Shiraz/Syrah,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",78.52,57.66,6.63,45.6
5,Reserve Pinot Noir 2019,3.9,454,13.95,United States / California / North Coast / Mendocino County,Angeline,Californian Pinot Noir,13.9,100 Pinot Noir,"['Beef', 'Veal', 'Game (deer, venison)', 'Poultry']",39.4,21.34,5.01,54.41
6,Six Ridges Cabernet Sauvignon 2016,4.0,550,21.99,United States / California / North Coast / Sonoma County / Alexander Valley,Kenwood,Californian Cabernet Sauvignon,13.79454297,,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",84.34,52.7,9.31,43.65
7,Uncovered Chardonnay 2016,3.8,197,21.94,United States / Washington,Sixto,Washington State Chardonnay,14.0,100 Chardonnay,"['Pork', 'Rich fish (salmon, tuna etc)', 'Vegetarian', 'Poultry']",65.19,46.29526972,15.08,54.71
8,Les Voisins Syrah 2017,4.1,30,39.97,United States / California / North Coast / Mendocino County / Yorkville Highlands,Copain,Californian Syrah,13.79454297,,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",76.74,59.72,7.77,47.37
9,Unshackled Cabernet Sauvignon 2019,4.1,3531,24.99,United States / California,The Prisoner,Californian Cabernet Sauvignon,14.5,100 Cabernet Sauvignon,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",82.44,48.67,12.52,42.09
10,Vineburg Vineyard Chardonnay 2018,3.9,114,24.94,United States / California / North Coast / Napa County / Napa Valley,Silverado Vineyards,Napa Valley Chardonnay,14.3,100 Chardonnay,"['Pork', 'Rich fish (salmon, tuna etc)', 'Vegetarian', 'Poultry']",85.0,46.29526972,22.39,43.65
11,Norcal GSM 2017,3.9,57,19.99,United States / California / North Coast / Sonoma County / Sonoma Valley,Alta,Californian Rhône Blend Red,13.79454297,,"['Beef', 'Pasta', 'Lamb', 'Game (deer, venison)']",85.0,62.09,9.05,55.85
12,Bodyguard 2020,4.2,54,31.99,United States / California / Central Coast / San Luis Obispo County / Paso Robles,DAOU,Californian Red Blend,14.8,"Cabernet Sauvignon, Merlot, Pinot Noir",[],61.73,46.29526972,9.05,53.555
